BEST_INDEX=1

================================================================================
SAMPLE 0
CORRECT=False
CRITIC_CORRECT=False
EXTRACTED=None
TOKENS=32000
MESSAGE=Critic verdict: INCORRECT | No expression found

<think>We are asked: "You are solving the Game of 24. You are given four numbers: 2, 2, 4, 4. Your job is to produce a valid arithmetic expression using:
- ALL four numbers exactly once
- ONLY +, -, *, /
- The expression must evaluate to exactly 24.

Please reason step by step, and put your final answer containing only the expression within \boxed{}."
Maybe: (4+4) * 2 - 2 = 8*2 -2=16-2=14, no.

Maybe: (4+4) * 2 + 2 = 16+2=18, no.

Maybe: 4 * 4 + 2 * 2 = 16+4=20, no.

Maybe: (4+2)*2+4 = 6*2+4=12+4=16, no.

Maybe: (4*2) + (4+2) = 8+6=14, no.

Maybe: 4 * 2 + 4 + 2 = 8+4+2=14, no.

Maybe: 4 * 2 + 4 * 2 = 8+8=16, no.

Maybe: (4+2)*2+2 = 6*2+2=12+2=14, no.

Maybe: (4+2+2)*2 = 8*2=16, no.

Maybe: 4 * 2 + 4/2 = 8+2=10, no.

Maybe: 4 * 2 + 2/2 = 8+1=9, no.

Maybe: 4 * 2 + 4 - 2 = 8+4-2=10, no.

Maybe: 4 * (4 - 2/2) = 4*(4-1)=4*3=12, no.

Maybe: 4 * (4 - 2) + 2 = 4*2+2=8+2=10, no.

Maybe: 4 * (4 - 2) * 2 = 4*2*2=16, no.

Maybe: 4 * (4 - 2) + 4 = 4*2+4=8+4=12, no.

Maybe: 4 * (4 - 2) + 2 * 2 = 4*2+4=8+4=12, no.

Maybe: 4 * (4 - 2) + 4/2 = 4*2+2=8+2=10, no.

Maybe: 4 * (4 - 2) + 2/2 = 4*2+1=8+1=9, no.

Maybe: (4+2)*2 - 4/2 = 6*2-2=12-2=10, no.

Maybe: 4 * (4 + 2) / 2 - 2 = (4*6)/2-2=12-2=10, no.

Maybe: 4 * (4 + 2) - 4/2 = 24 -2=22, no.

Maybe: 4 * (4 + 2/2) - 2 = 4*(4+1)-2=20-2=18, no.

Maybe: 4 * (4 + 2) - 2/2 = 24-1=23, no.

Maybe: (4 * 4) + (2 * 2) = 16+4=20, no.

Maybe: (4 * 4) - (2 * 2) = 16-4=12, no.

Maybe: (4 + 4) * (2 + 2) = 8*4=32, no.

Maybe: (4 * 4) / (2/2) = 16, no.

Maybe: 4 * 4 + 4/2 = 16+2=18, no.

Maybe: 4 * 4 - 4/2 = 16-2=14, no.

Maybe: 4 * 4 + 2/2 = 16+1=17, no.

Maybe: 4 * (4 - 2/2) = 4*(4-1)=12, no.

Maybe: 4 * (4 - 2/2) + 2 = 12+2=14, no.

Maybe: 4 * (4 - 2/2) + 4/2 = 12+2=14, no.

Maybe: 4 * (4 - 2/2) + 2/2 = 12+1=13, no.

Maybe: (4 * 4) / (2 - 2/2) = 16/(2-1)=16, no.

Maybe: (4 * 4) / (2 - 2/2) + 2? That doesn't yield 24.

Maybe: 4 * (4 - 2/2) + 2? Already did.

Maybe: 4 * (4 + 2/2) = 20, no.

Maybe: 4 * 4 + 2 + 2 = 16+4=20, no.

Maybe: 4 * 4 + 4 - 2 = 16+2=18, no.

Maybe: 4 * 4 - 4 + 2 = 16-4+2=14, no.

Maybe: 4 * 4 - 2 - 4 = 16-6=10, no.

Maybe: 4 * 4 - 2 * 2 = 16-4=12, no.

Maybe: 4 * 4 + 4 - 2/2 = 16+4-1=19, no.

Maybe: 4 * 4 - 4 + 2/2 = 16-4+1=13, no.

Maybe: 4 * (4 + 2) / 2 = 24/2=12, no.

Maybe: 4 * (4 + 2) / (2/2) = 24/1=24. That works. Let's check: 4 * (4 + 2) / (2/2) = 4 * (6) / (1) = 24. But then we are using 4, 4, 2, and then 2/2 uses both 2's? Let's check: We have numbers: 4, 4, 2, 2. Expression: 4 * (4 + 2) / (2/2). That uses one 4 outside, one 4 inside the parentheses, and two 2's: one 2 inside the parentheses and one 2 in the denominator. But wait, check carefully: We have numbers: 4, 4, 2, 2. The expression uses: one 4 multiplied by (4+2) and then divided by (2/2). But that uses two 2's? Actually, check: We have 4 (first factor), then parentheses: (4+2) uses one 4 and one 2. Then denominator: (2/2) uses two 2's. But wait, that's 4 numbers: first factor: 4, then inside parentheses: 4 and 2, then denominator: 2 and 2. But that's 1+1+2 = 4 numbers. But then we have 4 numbers: 4, 4, 2, 2. But wait, check: We are using 4, 4, 2, 2. But then the expression is 4*(4+2)/(2/2) = 4*6/1 = 24. But then we are using two 2's in the denominator. But wait, but then we have an extra 2? Let's recount: The numbers used: The factor 4 outside, then inside the parentheses: 4 and 2, then denominator: 2 and 2. That is 1 + 1 + 2 = 4 numbers, but then that's 4 numbers: they are: 4, 4, 2, 2. But wait, we have 4 numbers, but the original set is 2, 2, 4, 4. So yes, that works. But then we have two 2's in the denominator and one 2 in the parentheses. That sums to three 2's, but we need only two 2's. Let's count: The set is {2, 2, 4, 4}. We need to use each exactly once. Our expression: 4 * (4 + 2) / (2/2). How many 2's? There's one 2 inside the parentheses, and then the denominator (2/2) uses two 2's. That totals three 2's. But we only have two 2's in the set. So that doesn't work.

Maybe: 4 * (4 + 2/2) = 4 * (4 + 1) = 4 * 5 = 20, no.

Maybe: 4 * (4 + 2) / 2 = 4 * 6 / 2 = 12, no.

Maybe: 4 * (4 + 2) - 2 = 24 - 2 = 22, no.

Maybe: 4 * (4 + 2) - 2/2 = 24 - 1 = 23, no.

Maybe: 4 * (4 + 2/2) + 2 = 20 + 2 = 22, no.

Maybe: 4 * (4 + 2/2) + 2/2 = 20 + 1 = 21, no.

Maybe: (4 + 4) * (2 + 2/2) = 8 * (2 + 1) = 8 * 3 = 24. Let's check: Expression: (4 + 4) * (2 + 2/2). Count numbers: (4+4) uses two 4's. (2+2/2) uses one 2 and then 2/2 uses two 2's, that's three 2's total. That's too many.

Maybe: (4 + 4/2) * 2 = (4 + 2) * 2 = 6 * 2 = 12, no.

Maybe: (4 * 4) / (2 - 2/2) = 16 / (2 - 1) = 16, no.

Maybe: (4 * 4) / (2/2) = 16, no.

Maybe: 4 * (4 - 2/2) = 4*(4-1)=12, no.

Maybe: 4 * (4 - 2) + 2 = 4*2+2=8+2=10, no.

Maybe: 4 * (4 - 2) + 4/2 = 4*2+2=8+2=10, no.

Maybe: (4 + 4) + (2 * 2) = 8 + 4 = 12, no.

Maybe: 4 * 4 - 2 * 2 = 16 - 4 = 12, no.

Maybe: 4 * 4 - 4 + 2 = 16-4+2=14, no.

Maybe: 4 * 4 - 2 - 4 = 16-6=10, no.

Maybe: 4 * 4 + 2 - 4 = 16+2-4=14, no.

Maybe: 4 * 4 + 2/2 = 16+1=17, no.

Maybe: 4 * 4 + 4/2 = 16+2=18, no.

Maybe: 4 * 4 + 2 + 2 = 16+4=20, no.

Maybe: 4 * 4 + 4 - 2 = 16+2=18, no.

Maybe: 4 * 4 - 4/2 = 16-2=14, no.

Maybe: (4 + 2) * (4 - 2/2) = 6 * (4-1)=6*3=18, no.

Maybe: (4 + 2/2) * (4 - 2) = (4+1)*(4-2)=5*2=10, no.

Maybe: (4 * 2) + (4 * 2) = 8+8=16, no.

Maybe: (4 * 2) + (4 + 2) = 8+6=14, no.

Maybe: (4 * 2) + (4 * 2) + 2? That would be 16+2=18, no.

Maybe: (4 * 2) + (4 + 2/2) = 8+ (4+1)=13, no.

Maybe: (4 * 2) + (4 - 2/2) = 8+ (4-1)=11, no.

Maybe: (4 * 2) + (4 - 2) = 8+2=10, no.

Maybe: (4 * 2) + 4 - 2 = 8+4-2=10, no.

Maybe: (4 * 2) + 4/2 = 8+2=10, no.

Maybe: 4 * 2 + 4 + 2 = 8+4+2=14, no.

Maybe: 4 * 2 + 4 - 2 = 8+4-2=10, no.

Maybe: 4 * 2 + 2 + 2 = 8+2+2=12, no.

Maybe: 4 * 2 + 4 * 2 = 8+8=16, no.

Maybe: 4 * 2 + 4 * 2/2 = 8+ (4*1)=12, no.

Maybe: 4 * 2 + 4/2 + 2 = 8+2+2=12, no.

Maybe: 4 * 2 + 2 * 2 = 8+4=12, no.

Maybe: 4 * 2 + 2 * 2 + 2? That would be 8+4+2=14, no.

Maybe: 4 * 2 + 2 * 2 + 4? That would be 8+4+4=16, no.

Maybe: (4 * 2) + (4 * 2) + 2? That would be 8+8+2=18, no.

Maybe: 4 * 2 + 2 * 2 + 4? That is 8+4+4=16, no.

Maybe: 4 * 2 + 2 * 2 + 2? That is 8+4+2=14, no.

Maybe: (4 * 2) + (4 * 2) + 2/2? That is 8+8+1=17, no.

Maybe: (4 * 2) + (4 * 2) + 2/2? Already did.

Maybe: 4 * 2 + 4 + 2/2 = 8+4+1=13, no.

Maybe: 4 * 2 + 4 - 2/2 = 8+4-1=11, no.

Maybe: 4 * 2 + 2 + 4/2 = 8+2+2=12, no.

Maybe: 4 * 2 + 4/2 + 2/2 = 8+2+1=11, no.

Maybe: 4 * 2 + 4/2 + 2? That is 8+2+2=12, no.

Maybe: 4 * 2 + 2 * (4 - 2/2) = 8 + 2*(4-1)=8+2*3=8+6=14, no.

Maybe: 4 * 2 + 2 * (4 - 2) = 8+2*2=8+4=12, no.

Maybe: 4 * 2 + 2 * (4 + 2/2) = 8+2*(4+1)=8+10=18, no.

Maybe: 4 * 2 + 2 * (4 + 2) = 8+2*6=8+12=20, no.

Maybe: 4 * 2 + 2 * (4 + 2/2) = 8+2*(4+1)=8+10=18, no.

Maybe: 4 * 2 + 2 * (4 + 2) = 8+12=20, no.

Maybe: 4 * 2 + 2 * (4 + 2/2) = 8+2*5=8+10=18, no.

Maybe: 4 * 2 + 2 * (4 + 2) - 2? That would be 8+12-2=18, no.

Maybe: 4 * 2 + 2 * (4 + 2) - 2/2 = 8+12-1=19, no.

Maybe: 4 * 2 + 2 * (4 + 2) - 2? Already did.

Maybe: 4 * 2 + 2 * (4 + 2/2) - 2? = 8+2*5 - 2 = 8+10-2=16, no.

Maybe: 4 * 2 + 2 * (4 + 2/2) - 2/2 = 8+10-1=17, no.

Maybe: 4 * 2 + 2 * (4 + 2/2) - 2? Already did.

Maybe: 4 * 2 + 2 * (4 + 2/2) - 2/2 = 8+10-1=17, no.

Maybe: 4 * 2 + 2 * (4 + 2) - 2/2 = 8+12-1=19, no.

Maybe: (4+2) * 2 + 4/2 = 6*2+2=12+2=14, no.

Maybe: (4+2) * 2 + 2/2 = 6*2+1=12+1=13, no.

Maybe: (4+2) * 2 + 4 - 2 = 6*2+4-2=12+2=14, no.

Maybe: (4+2) * 2 + 4 - 2/2 = 12+4-1=15, no.

Maybe: (4+2) * 2 + 4/2 - 2 = 12+2-2=12, no.

Maybe: (4+2) * 2 + 4 - 2? Already did.

Maybe: (4+2) * 2 + 4/2 = 12+2=14, no.

Maybe: (4+2) * 2 + 4 - 2 = 12+2=14, no.

Maybe: (4+2) * 2 + 2/2 = 12+1=13, no.

Maybe: (4+2) * 2 + 4/2 + 2? That is 12+2+2=16, no.

Maybe: (4+2) * 2 + 4/2 + 2/2 = 12+2+1=15, no.

Maybe: (4+2) * 2 + 4/2 + 2? Already did.

Maybe: (4+2) * 2 + 4/2 + 2/2 = 12+2+1=15, no.

Maybe: (4+2) * 2 + 4? That is 12+4=16, no.

Maybe: (4+2) * 2 + 2? That is 12+2=14, no.

Maybe: (4+2) * 2 + 2? Already did.

Maybe: (4+2) * 2 + 4/2? Already did.

Maybe: (4+2) * 2 + 4/2 + 2? Already did.

Maybe: (4+2) * 2 + 4/2 + 2/2? Already did.

Maybe: 4 * 2 + 4 + 2? That is 8+4+2=14, no.

Maybe: 4 * 2 + 4 + 2/2? That is 8+4+1=13, no.

Maybe: 4 * 2 + 4/2 + 2? That is 8+2+2=12, no.

Maybe: 4 * 2 + 4/2 + 2/2? That is 8+2+1=11, no.

Maybe: 4 * 2 + 4 + 2/2? Already did.

Maybe: 4 * 2 + 4/2 + 2? Already did.

Maybe: 4 * 2 + 4 + 2? Already did.

Maybe: 4 * 2 + 2 * 2 + 4? That is 8+4+4=16, no.

Maybe: 4 * 2 + 2 * 2 + 2? That is 8+4+2=14, no.

Maybe: 4 * 2 + 2 * 2 + 4/2? That is 8+4+2=14, no.

Maybe: 4 * 2 + 2 * 2 + 2/2? That is 8+4+1=13, no.

Maybe: 4 * 2 + 2 * (4 - 2/2) = 8+2*(4-1)=8+2*3=8+6=14, no.

Maybe: 4 * 2 + 2 * (4 - 2) = 8+2*2=8+4=12, no.

Maybe: 4 * 2 + 2 * (4 + 2/2) = 8+2*(4+1)=8+10=18, no.

Maybe: 4 * 2 + 2 * (4 + 2) = 8+2*6=8+12=20, no.

Maybe: 4 * 2 + 2 * (4 + 2) - 2? = 8+12-2=18, no.

Maybe: 4 * 2 + 2 * (4 + 2) - 2/2 = 8+12-1=19, no.

Maybe: 4 * 2 + 2 * (4 + 2) - 2? Already did.

Maybe: 4 * 2 + 2 * (4 + 2) - 2 = 8+12-2=18, no.

Maybe: 4 * 2 + 2 * (4 + 2) - 2/2 = 8+12-1=19, no.

Maybe: 4 * 2 + 2 * (4 + 2) - 2? Already did.

Maybe: 4 * 2 + 2 * (4 + 2/2) - 2 = 8+2*(4+1)-2 = 8+10-2=16, no.

Maybe: 4 * 2 + 2 * (4 + 2/2) - 2/2 = 8+10-1=17, no.

Maybe: 4 * 2 + 2 * (4 + 2) - 2/2 = 8+12-1=19, no.

Maybe: 4 * 2 + 2 * (4 + 2/2) - 2? Already did.

Maybe: 4 * 2 + 2 * (4 + 2/2) - 2/2? Already did.

Maybe: 4 * 2 + 2 * (4 + 2) - 2/2? Already did.

Maybe: 4 * 2 + 2 * (4 + 2) - 2? Already did.

Maybe: 4 * 2 + 2 * (4 + 2) - 2? Already did.

Maybe: (4+2/2) * (4-2) = (4+1)*(4-2)=5*2=10, no.

Maybe: (4+2/2) * (4+2) = 5*6=30, no.

Maybe: (4+2/2) * (4-2/2) = 5*(4-1)=5*3=15, no.

Maybe: (4+2) * (4-2/2) = 6*(4-1)=6*3=18, no.

Maybe: (4+2/2) * (4+2) = 5*6=30, no.

Maybe: (4+2) * (4+2/2) = 6*5=30, no.

Maybe: (4+2) * (4-2) = 6*2=12, no.

Maybe: (4+2) * (4+2) = 6*6=36, no.

Maybe: (4*4) / (2+2/2) = 16/(2+1)=16/3, no.

Maybe: (4*4) / (2-2/2) = 16/(2-1)=16, no.

Maybe: (4*4) - (2+2/2) = 16- (2+1)=16-3=13, no.

Maybe: (4*4) - (2-2/2) = 16-(2-1)=16-1=15, no.

Maybe: (4*4) - (2/2+2) = 16- (1+2)=13, no.

Maybe: (4*4) - (2/2*2) = 16 - (1*2)=14, no.

Maybe: (4*4) - (2/2+2/2) = 16- (1+1)=14, no.

Maybe: (4*4) - (2+2/2) = 16- (2+1)=13, no.

Maybe: (4*4) - (2/2*2) = 16-2=14, no.

Maybe: (4*4) - (2+2) = 16-4=12, no.

Maybe: (4*4) + (2-2/2) = 16+ (2-1)=17, no.

Maybe: (4*4) + (2/2-2) = 16+ (1-2)=15, no.

Maybe: (4*4) + (2/2*2) = 16+ (1*2)=18, no.

Maybe: (4*4) + (2/2+2) = 16+ (1+2)=19, no.

Maybe: (4*4) + (2-2/2) = 16+ (2-1)=17, no.

Maybe: (4*4) + (2/2*2) = 16+2=18, no.

Maybe: (4*4) + (2+2/2) = 16+ (2+1)=19, no.

Maybe: (4*4) + (2/2+2) = 16+3=19, no.

Maybe: (4*4) + (2+2) = 16+4=20, no.

Maybe: (4*4) + (2+2/2) = 16+3=19, no.

Maybe: (4*4) + (2/2+2) = 16+3=19, no.

Maybe: (4*4) + (2/2*2) = 16+2=18, no.

Maybe: (4*4) + (2/2+2) = 16+3=19, no.

Maybe: (4*4) + (2+2/2) = 16+3=19, no.

Maybe: (4*4) + (2/2*2) = 16+2=18, no.

Maybe: (4+4) * (2+2/2) = 8*(2+1)=8*3=24. Let's check: (4+4) * (2+2/2). Count numbers: (4+4) uses two 4's. (2+2/2) uses one 2 and then 2/2 uses two 2's. That would be three 2's total. But we only have two 2's. So that doesn't work.

Maybe: (4+4/2) * 2 = (4+2) * 2 = 6*2=12, no.

Maybe: (4+4/2) * (2+2) = (4+2)*(2+2)=6*4=24. Let's check: (4+4/2) uses one 4 and one 4/2 uses one 2. And then (2+2) uses two 2's. That totals: numbers: 4, (4/2) uses 4 and 2, and then (2+2) uses two 2's. So that gives: one 4 from the first term, plus the 4 in the fraction, plus two 2's in the second parentheses. But wait, check: (4+4/2) uses: 4 and (4/2). That means we have two 4's in that expression? Actually, (4+4/2) uses one 4 and then 4/2 uses one 4 and one 2. So that accounts for two 4's and one 2. And then (2+2) uses two 2's. That would be total: 2 fours and 3 twos, but we only have two 2's. So that doesn't work.

Maybe: (4+4/2) * 2? Already did.

Maybe: (4+4/2) * (2+?).

Alternatively, consider: (4*4) / (2 - 2/2) = 16/(2-1)=16, no.

Maybe: (4*4) / (2/2 + 2) = 16/(1+2)=16/3, no.

Maybe: (4*4) / (2 + 2/2) = 16/(2+1)=16/3, no.

Maybe: (4*4) / (2/2 * 2) = 16/(1*2)=8, no.

Maybe: (4+4) * (2/2 + 2) = 8*(1+2)=24. Check: (4+4) uses two 4's. (2/2 + 2) uses one 2/2 (which uses two 2's) and then a 2. That totals three 2's. So no.

Maybe: (4+4) * (2+2/2) we already did.

Maybe: (4+4/2) * (2+2) we already did.

Maybe: (4*2) + (4*2) = 8+8=16, no.

Maybe: (4*2) + (4*2) + 2/2 = 8+8+1=17, no.

Maybe: (4*2) + (4*2) + 2 = 8+8+2=18, no.

Maybe: (4*2) + (4*2) + 2/2 = 8+8+1=17, no.

Maybe: (4*2) + (4*2) + 2/2 + ? That would be too many.

Maybe: (4*2) + (4+2) = 8+6=14, no.

Maybe: (4*2) + (4+2/2) = 8+ (4+1)=13, no.

Maybe: (4*2) + (4+2) + 2/2 = 8+6+1=15, no.

Maybe: (4*2) + (4+2) + 2 = 8+6+2=16, no.

Maybe: (4*2) + (4+2) + 2/2 = 8+6+1=15, no.

Maybe: (4*2) + (4+2) + 2/2 = 15, no.

Maybe: (4*2) + (4+2) + 2 = 16, no.

Maybe: (4*2) + (4+2) + 2? Already did.

Maybe: (4*2) + (4+2/2) + 2 = 8+ (4+1)+2=8+5+2=15, no.

Maybe: (4*2) + (4+2/2) + 2/2 = 8+5+1=14, no.

Maybe: (4*2) + (4+2/2) + 2? Already did.

Maybe: (4*2) + (4+2/2) + 2/2? Already did.

Maybe: (4*2) + (4+2) + 2/2? Already did.

Maybe: (4+2) * (4-2/2) = 6*(4-1)=6*3=18, no.

Maybe: (4+2/2) * (4-2) = 5*2=10, no.

Maybe: (4+2/2) * (4+2) = 5*6=30, no.

Maybe: (4+2) * (4+2/2) = 6*5=30, no.

Maybe: (4+2) * (4-2/2) = 6*3=18, no.

Maybe: (4+2/2) * (4+2/2) = 5*5=25, no.

Maybe: (4+2/2) * (4+2/2) - 1 = 25-1=24. That works if we can get a 1 from somewhere. But we must use exactly the four numbers: 2, 2, 4, 4. Expression: (4+2/2) * (4+2/2) - 1. But then we need a 1. But we don't have a 1. We only have 2,2,4,4. We could generate 1 by 2/2, but then that would use an extra 2. Let's try: (4+2/2) * (4+2/2) - 2/2. That equals 5*5 - 1 = 25 - 1 = 24. Let's check usage: In (4+2/2), we use one 4 and one 2/2. But note: 2/2 uses two 2's. So then (4+2/2) appears twice, so that uses: For the first (4+2/2): one 4 and two 2's. For the second (4+2/2): one 4 and two 2's. And then we subtract 2/2, which uses two 2's. That totals: fours: 1+1=2 fours, and twos: 2+2+2=6 twos. That is too many. We only have two 2's. So that doesn't work.

Maybe: (4+2/2) * (4+2/2) - 2? That equals 25-2=23, no.

Maybe: (4+2/2) * (4+2/2) - 2/2? Already did.

Maybe: (4+2/2) * (4+2/2) - 2? Already did.

Maybe: (4+2/2) * (4+2/2) - 2? Already did.

Maybe: (4+2/2) * (4+2/2) - 4/2? That equals 25 - 2=23, no.

Maybe: (4+2/2) * (4+2/2) - 4? That equals 25-4=21, no.

Maybe: (4+2/2) * (4+2/2) - 4/2? Already did.

Maybe: (4+2/2) * (4+2/2) - 4/2? Already did.

Maybe: (4+2/2) * (4+2/2) - 4/2? Already did.

Maybe: (4+2/2) * (4+2/2) - 2/2? Already did.

Maybe: (4+2/2) * (4+2/2) - 2? Already did.

Maybe: (4+2/2) * (4+2/2) - 4/2? Already did.

Maybe: (4+2/2) * (4+2/2) - 4? Already did.

Maybe: (4+2/2) * (4+2/2) - 2? Already did.

Maybe: (4+2/2) * (4+2/2) - 2/2? Already did.

Maybe: (4+2/2) * (4+2/2) - (4/2) = 25 - 2 = 23, no.

Maybe: (4+2/2) * (4+2/2) - (4/2) = 25-2=23, no.

Maybe: (4+2/2) * (4+2/2) - (2+2/2) = 25 - (2+1)=22, no.

Maybe: (4+2/2) * (4+2/2) - (2+2) = 25 - 4 = 21, no.

Maybe: (4+2/2) * (4+2/2) - (2*2) = 25 - 4 = 21, no.

Maybe: (4+2/2) * (4+2/2) - (2+2/2) = 25 - 3 = 22, no.

Maybe: (4+2/2) * (4+2/2) - (2*2/2) = 25 - (2*1)=25-2=23, no.

Maybe: (4+2/2) * (4+2/2) - (2*2/2) = 25-2=23, no.

Maybe: (4+2/2) * (4+2/2) - (2*2/2) = 25-2=23, no.

Maybe: (4+2/2) * (4+2/2) - (2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 25 - (2+1)=22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2) = 25 - (2+2)=21, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2) = 25- (2+2)=21, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2) = 25- (2+2)=21, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2) = 25-4=21, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2) = 25-4=21, no.

Maybe: (4+2/2) * (4+2/2) - (2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (2*2/2) = 25-2=23, no.

Maybe: (4+2/2) * (4+2/2) - (2*2) = 25-4=21, no.

Maybe: (4+2/2) * (4+2/2) - (2*2/2) = 25-2=23, no.

Maybe: (4+2/2) * (4+2/2) - (2+2) = 25-4=21, no.

Maybe: (4+2/2) * (4+2/2) - (2+2) = 25-4=21, no.

Maybe: (4+2/2) * (4+2/2) - (2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (2*2) = 25-4=21, no.

Maybe: (4+2/2) * (4+2/2) - (2*2/2) = 25-2=23, no.

Maybe: (4+2/2) * (4+2/2) - (2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (2+2) = 25-4=21, no.

Maybe: (4+2/2) * (4+2/2) - (2+2) = 21, no.

Maybe: (4+2/2) * (4+2/2) - (2+2/2) = 22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2) = 25- (2+2)=21, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 25-3=22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2) = 21, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 22, no.

Maybe: (4+2/2) * (4+2/2) - (4/2+2/2) = 22, no.

